	Aguanil	Araujos	Camacho	Cana Verde	Carmo da Mata	Carmo do Cajuru	Conceicao do Para	Corrego Danta	Corrego Fundo	Cristais	Estrela do Indaia	Igaratinga	Itapecerica	Itatiaiucu	Japaraiba	Leandro Ferreira	Martinho Campos	Medeiros	Onca de Pitangui	Pains	Passa Tempo	Pedra do Indaia	Perdigao	Piracema	Santana do Jacare	Sao Francisco de Paula	Sao Goncalo do Para	Sao Jose da Varginha	Sao Sebastiao do Oeste	Serra da Saudade	Tapirai
Passa Tempo	0.8035109796014124	0.5850524852252557	0.7562485451238242	0.8689249287511517	0.6955529235228238	0.7965410789759145	0.7291272795151397	0.7890066501183243	0.6119509472688887	0.868552226802272	0.6113768657904332	0.8084662121717334	0.9368993673256405	0.7398789296622709	0.6129435891237637	0.742773929483676	0.6842261461422372	0.0	0.7407228438019963	0.6946035960280252	0.0	0.7374494737073866	0.7437360724065117	0.9212428227987548	0.8029767172287837	0.686516632601412	0.7242255167377912	0.765843580757873	0.7136284724958398	0.7827573869817765	0.8633450724424274
Pedra do Indaia	0.9934892518871492	0.9581543177782352	0.998538389063735	0.9045878336747084	0.9276614166210732	0.9845970837011515	0.9917822969602907	0.9966632246443345	0.9485719261187242	0.8648300645002562	0.9558351846356485	0.992405970848634	0.7321121202827504	0.9940867860402132	0.9660357127530195	0.9996734548814094	0.9526056768111714	0.7868503255914642	0.9995410810541557	0.9541266670324714	0.7374494737073866	0.0	0.9998652530203527	0.9061898711221927	0.9943007464094662	0.9056542586931506	0.9974431310088478	0.99246668158425	0.9980098894639151	0.9941718892178345	0.976098271909472
Perdigao	0.9948467596752391	0.9591392017007035	0.999279977449871	0.9067406277771617	0.9317696332705969	0.9842545986139264	0.990212554935074	0.9972141071250298	0.9508975420144308	0.8684297312601311	0.957866427843211	0.9935979750530339	0.7421769198843663	0.9926792441753874	0.9616664993492384	0.999849050039266	0.9488749374974977	0.7912034269598301	0.9996713007618249	0.9576991614955271	0.7437360724065117	0.9998652530203527	0.0	0.9090212971030808	0.9954914150379066	0.9092041008230867	0.9965837292979973	0.9927357559846245	0.9971218429401114	0.994919665056123	0.9785030866395804
Piracema	0.9425905239488261	0.8059212951353143	0.915536838805559	0.9910925036064837	0.7921924620307486	0.9559413375794005	0.9161385613621176	0.9363048161464398	0.7816603587275911	0.8400565738045326	0.8067515859437926	0.9326169253670559	0.8634933748193525	0.9159326002741348	0.8277476638575968	0.9114528638353542	0.831104592776838	0.5800550236963408	0.9118946857242546	0.8643678100452149	0.9212428227987548	0.9061898711221927	0.9090212971030808	0.0	0.9396505768760294	0.8846212135334773	0.8888757638930502	0.9397801304673817	0.901552532311838	0.9426685299214962	0.9668203083447064
Santana do Jacare	0.9997639462736463	0.9399888993481516	0.997090663124447	0.930940360624251	0.930767311072491	0.9880593191336873	0.9834862574837471	0.9991908574682293	0.9363815351947021	0.8940266870337348	0.942920191740156	0.9987021567259884	0.7973875322705397	0.9870156636938955	0.9397639717905937	0.9953729823081396	0.9369238004274169	0.7658638497192173	0.994955198167717	0.9552320048105392	0.8029767172287837	0.9943007464094662	0.9954914150379066	0.9396505768760294	0.0	0.9118759043158662	0.9886141316707601	0.9924973394295118	0.9882948999108174	0.9968948971459141	0.9936261978524029
Sao Francisco de Paula	0.9203026819121238	0.9412969908408811	0.9192965492486994	0.9189481838407337	0.8443925942255481	0.9085863915445785	0.8963825775845521	0.908710751529734	0.8945198349018254	0.678037263935787	0.9341925236102983	0.8919347430264294	0.7575466410857205	0.886793389403926	0.8137251011826243	0.9157001452131166	0.7403821957430553	0.8451251515794053	0.91796274962907	0.9667167189097017	0.686516632601412	0.9056542586931506	0.9092041008230867	0.8846212135334773	0.9118759043158662	0.0	0.8734844696883219	0.9365960760573708	0.9089540397268766	0.9322247736854714	0.9076702641829744
Sao Goncalo do Para	0.986281346015024	0.9457645874325185	0.9931496207965045	0.8823697179632741	0.9241643209833993	0.9781099038352332	0.9896629873765491	0.9921446941563863	0.9417563423491377	0.8755549552264448	0.9437219105116241	0.9895771126614561	0.7073502733512295	0.9936996413960464	0.9755090025231491	0.9953164885373195	0.9706438748244206	0.7664668850752796	0.9948323347195268	0.9349034957162023	0.7242255167377912	0.9974431310088478	0.9965837292979973	0.8888757638930502	0.9886141316707601	0.8734844696883219	0.0	0.983155265454342	0.9950565833125795	0.9855220724287137	0.9671031041953356
Sao Jose da Varginha	0.9937800560555274	0.9490653120810963	0.9931881860789343	0.9466312907715041	0.8956830033218762	0.9949981107224859	0.9929109553269815	0.994924707147143	0.9233090689265919	0.8344434262279479	0.9424739124065714	0.985657846570297	0.7513350189041764	0.9916595244973998	0.9514510221212004	0.994347893522382	0.9262104248168963	0.7641326649481093	0.9950035234050947	0.9547845778758004	0.765843580757873	0.99246668158425	0.9927357559846245	0.9397801304673817	0.9924973394295118	0.9365960760573708	0.983155265454342	0.0	0.9937434603923473	0.9989670749904547	0.9817916814453652
Sao Sebastiao do Oeste	0.9878457876958813	0.9584744866237443	0.994469299073646	0.9070339539165564	0.9060797468557118	0.9867132313497329	0.9964769380527434	0.992861257044795	0.9381224201720324	0.8350698769574549	0.9508611325894931	0.9842034307036549	0.6988067711925426	0.9966485997850117	0.9755529327711958	0.9975596506951931	0.9524872930177648	0.7777199053778521	0.9979193924000561	0.9471306612655646	0.7136284724958398	0.9980098894639151	0.9971218429401114	0.901552532311838	0.9882948999108174	0.9089540397268766	0.9950565833125795	0.9937434603923473	0.0	0.9926020842888261	0.9668134582880282
Serra da Saudade	0.9978051391109071	0.9480636471281273	0.9961517868158846	0.9440877895944109	0.9108905422643949	0.9936932664083692	0.990004907883618	0.9978525986332182	0.930304461337931	0.8569578798005691	0.9452316214410938	0.9918259972514669	0.7737510321452558	0.9903958325804758	0.9458978521758877	0.9960058539929334	0.9282187372681004	0.7687629977977517	0.9962869482879265	0.9585656676638418	0.7827573869817765	0.9941718892178345	0.994919665056123	0.9426685299214962	0.9968948971459141	0.9322247736854714	0.9855220724287137	0.9989670749904547	0.9926020842888261	0.0	0.9883588859856239
Tapirai	0.9940593926894781	0.906974919209806	0.982868757005022	0.9518137285672288	0.9160050972061189	0.9822305256068333	0.9649516647462082	0.9899848515394496	0.9070235883963382	0.9097360535177692	0.9141797662530827	0.9925241181656812	0.852391844428885	0.9692851288243257	0.9031027129051376	0.9786008221926034	0.9103164170203234	0.7265161130879193	0.9779956320426606	0.9417697275374786	0.8633450724424274	0.976098271909472	0.9785030866395804	0.9668203083447064	0.9936261978524029	0.9076702641829744	0.9671031041953356	0.9817916814453652	0.9668134582880282	0.9883588859856239	0.0
